,nodeID,nodeName,X,Y,Pressure,Temperature,Mass Flow,CO2,H2S,SiO2,NCG,SSI,MWe
0,R501,test_name,602995.4277,1442059.0175,0.88,174.41,44.474,0.0,0.0,736.4334950480563,0.0,0.955987693363,18.53
1,R502,test_name,602995.4277,1442059.0175,0.88,174.41,69.612,0.0,0.0,736.4334950480563,0.0,0.955987693363,29.01
2,R503,test_name,602995.4277,1442059.0175,0.88,174.41,79.281,0.0,0.0,736.4334950480561,0.0,0.955987693363,33.03
3,R504,test_name,602995.4277,1442059.0175,0.88,174.41,80.617,0.0,0.0,710.4703860520156,0.0,0.92228415754,33.59
4,R505,test_name,602995.4277,1442059.0175,0.88,174.41,94.054,0.0,0.0,710.4703860520156,0.0,0.92228415754,39.19
5,R506,test_name,602995.4277,1442059.0175,0.88,174.41,161.235,0.0,0.0,710.4703860520156,0.0,0.92228415754,67.18
6,R508,test_name,602995.4277,1442059.0175,0.78,169.37,69.728,0.0,0.0,684.5042615515601,0.0,0.927453116568,29.05
7,R508X,test_name,602995.4277,1442059.0175,0.98,169.29,69.728,0.0,0.0,684.5042615515601,0.0,0.928091209537,29.05
8,R7A22,test_name,602995.4277,1442059.0175,0.87,174.33,193.367,0.0,0.0,736.4334950480561,0.0,0.956630686228,80.57
9,R7A23,test_name,602995.4277,1442059.0175,0.86,174.36,335.906,0.0,0.0,710.4703860520156,0.0,0.922671785183,139.96
10,R7C22,test_name,602995.4277,1442059.0175,1.37,173.54,263.095,0.0,0.0,722.6707283872831,0.0,0.94501873107,109.62
11,R7C23,test_name,602995.4277,1442059.0175,1.43,173.97,335.906,0.0,0.0,710.4703860520156,0.0,0.925703863198,139.96
12,R7H20,test_name,602995.4277,1442059.0175,1.4,173.28,599.001,0.0,0.0,715.8290598567984,0.0,0.938128614427,249.58
13,R7RA22,test_name,602995.4277,1442059.0175,1.7,172.83,299.5,0.0,0.0,715.8290598567984,0.0,0.941704431521,124.79
14,R7RA23,test_name,602995.4277,1442059.0175,1.67,172.83,299.5,0.0,0.0,715.8290598567984,0.0,0.941704431521,124.79
15,R7RAX,test_name,602995.4277,1442059.0175,1.67,172.78,599.001,0.0,0.0,715.8290598567984,0.0,0.942103031456,249.58
16,R7REX,test_name,602995.4277,1442059.0175,3.69,172.33,461.231,0.0,0.0,715.8290598567984,0.0,0.945702074446,192.18
17,R7XPAL1RD,test_name,602995.4277,1442059.0175,1.66,172.72,17.97,0.0,0.0,715.8290598567984,0.0,0.942581692183,7.49
18,R7XPAL4RD,test_name,602995.4277,1442059.0175,1.66,172.74,0.0,0.0,0.0,0.0,0.0,,0.0
19,R7XPAL5RD,test_name,602995.4277,1442059.0175,1.66,172.74,119.8,0.0,0.0,715.8290598567984,0.0,0.942422097277,49.92
20,R7XPAL6RD,test_name,602995.4277,1442059.0175,3.71,172.3,345.923,0.0,0.0,715.8290598567984,0.0,0.945942758032,144.13
21,R7XPAL7RD,test_name,602995.4277,1442059.0175,3.71,172.3,115.308,0.0,0.0,715.8290598567984,0.0,0.945942758032,48.04
22,S5001,test_name,602995.4277,1442059.0175,0.88,174.41,26.868,995.6879734367822,28.847928804278993,0.0,2.428,0,11.2
23,S5002,test_name,602995.4277,1442059.0175,0.88,174.41,42.055,995.6879734367822,28.847928804278993,0.0,2.428,0,17.52
24,S5003,test_name,602995.4277,1442059.0175,0.88,174.41,47.896,995.6879734367823,28.847928804278997,0.0,2.428,0,19.96
25,S5004,test_name,602995.4277,1442059.0175,0.88,174.41,34.419,511.33200117645487,24.812995050248507,0.0,1.2802,0,14.34
26,S5005,test_name,602995.4277,1442059.0175,0.88,174.41,40.156,511.33200117645487,24.812995050248507,0.0,1.2802,0,16.73
27,S5006,test_name,602995.4277,1442059.0175,0.88,174.41,68.839,511.33200117645487,24.812995050248507,0.0,1.2802,0,28.68
28,S5008,test_name,602995.4277,1442059.0175,0.78,169.37,33.523,549.8512516210847,11.906253615770106,0.0,1.3481,0,13.97
29,S501X,test_name,602995.4277,1442059.0175,0.88,174.26,26.65,1003.8544339647741,29.08453452633196,0.0,2.4474,0,11.1
30,S502X,test_name,602995.4277,1442059.0175,0.86,173.63,41.809,1001.5362740382401,29.017370802051193,0.0,2.4419,0,17.42
31,S503X,test_name,602995.4277,1442059.0175,0.86,173.38,47.658,1000.6542966760056,28.991817394928173,0.0,2.4398,0,19.86
32,S504X,test_name,602995.4277,1442059.0175,0.87,174.06,34.224,514.2451905216607,24.954361036802677,0.0,1.2874,0,14.26
33,S505X,test_name,602995.4277,1442059.0175,0.87,173.9,39.965,513.7763109022909,24.931608094198232,0.0,1.2862,0,16.65
34,S506X,test_name,602995.4277,1442059.0175,0.84,172.61,68.661,512.6567317087624,24.877279178887893,0.0,1.2835,0,28.61
35,S508X,test_name,602995.4277,1442059.0175,0.78,169.37,33.507,550.1078730969352,11.911810392017722,0.0,1.3488,0,13.96
36,S70A1,test_name,602995.4277,1442059.0175,0.87,173.93,74.174,514.0436099617419,24.9445790997755,0.0,1.2869,0,30.91
37,S70A2,test_name,602995.4277,1442059.0175,0.87,173.74,116.092,1001.7499251998804,29.02356088736344,0.0,2.4424,0,48.37
38,S70B1,test_name,602995.4277,1442059.0175,0.85,173.15,142.829,513.3739356147934,24.912082353595167,0.0,1.2852,0,59.51
39,S70B2,test_name,602995.4277,1442059.0175,0.86,173.53,116.07,1001.9417633615194,29.029118987668504,0.0,2.4429,0,48.36
40,S70C1,test_name,602995.4277,1442059.0175,0.84,172.6,146.06,514.1876436876972,24.624474268681393,0.0,1.2866,0,60.86
41,S70C2,test_name,602995.4277,1442059.0175,0.84,172.44,146.127,909.0134597739311,25.50846914835126,0.0,2.2198,0,60.89
42,S70IF1,test_name,602995.4277,1442059.0175,0.73,166.74,145.389,516.5615203348673,24.73815935064102,0.0,1.2925,0,60.58
43,S70IF2,test_name,602995.4277,1442059.0175,0.73,166.54,145.461,913.1725487926236,25.625180284779262,0.0,2.2298,0,60.61
