,pipeID,length,total_loss,skin_friction,fittings_friction,heat_loss,X,Y,tot,pskin_friction,pfittings_friction,pheat_loss
0,RIL501,65,6.0,1.765370708585128,3.493017014347224,2109.3614052086086,601607.343,1442055.476,2114.619792931541,0.0,0.0,100.0
1,RIL502,65,15.0,4.24722456392238,8.557561532313802,1347.6475644388336,601557.8487,1442055.6648,1360.4523505350699,0.0,1.0,99.0
2,RIL503,65,19.0,5.485642183328766,11.099738376403938,1183.3003004828781,601557.8487,1442055.6648,1199.885681042611,0.0,1.0,99.0
3,RIL504,60,17.0,5.233181098035975,9.048433422396991,1074.1645644186594,601557.8487,1442055.6648,1088.4461789390923,0.0,1.0,99.0
4,RIL505,60,23.0,7.091325021250675,12.315923269373682,920.7124837874225,601557.8487,1442055.6648,940.1197320780468,1.0,1.0,98.0
5,RIL506,60,30.0,8.039720114794447,16.444013793545544,640.2096213202572,601557.8487,1442055.6648,664.6933552285972,1.0,2.0,96.0
6,RIL508,37,1.0,0.21847201633415586,0.11821749763890217,1166.275989859101,601557.8487,1442055.6648,1166.6126793730741,0.0,0.0,100.0
7,RIL508X7C22,37,59.0,0.028444949104033782,0.023336781651423052,1731.1802574141757,601557.8487,1442055.6648,1731.2320391449312,0.0,0.0,100.0
8,RIL508X7C23,37,59.0,0.028444949104033782,0.023336781651423052,1731.1802574141757,601557.8487,1442055.6648,1731.2320391449312,0.0,0.0,100.0
9,RIL7A22,879,574.0,4.849905364378788,0.42089093601793454,15349.012216525407,601557.8487,1442055.6648,15354.283012825803,0.0,0.0,100.0
10,RIL7A23,742,670.0,12.042209240773442,0.5480408112387267,7464.661754853283,601557.8487,1442055.6648,7477.2520049052955,0.0,0.0,100.0
11,RIL7C22,1334,1.0,13.319944161424015,7.258999384724381,16717.567707584287,601557.8487,1442055.6648,16738.146651130435,0.0,0.0,100.0
12,RIL7C23,1334,3.0,21.572949849693615,1.2654258694918845,13266.529551417912,601557.8487,1442055.6648,13289.367927137098,0.0,0.0,100.0
13,RIL7H22,1539,501.0,77.21151082851195,1.7237931884120874,8405.971060253685,601557.8487,1442055.6648,8484.90636427061,1.0,0.0,99.0
14,RIL7H23,1539,537.0,77.21151082851195,37.531678965881355,8405.971060253685,601557.8487,1442055.6648,8520.714250048079,1.0,0.0,99.0
15,RIL7RA22,65,2.0,0.8311544276806182,1.1766752110555234,700.5227736269791,601557.8487,1442055.6648,702.5306032657152,0.0,0.0,100.0
16,RIL7RA23,65,2.0,0.8311544276806182,0.7476113219413547,700.5227736269791,601557.8487,1442055.6648,702.1015393766011,0.0,0.0,100.0
17,RIL7REX,1535,2426.0,76.66935520125494,4.704798737010048,8261.113114481223,601557.8487,1442055.6648,8342.487268419487,1.0,0.0,99.0
18,RILPAL1RD,161,11.0,8.041541490164201,2.9892367666085944,866.4750563071511,601557.8487,1442055.6648,877.5058345639239,1.0,0.0,99.0
19,RILPAL4RD,81,9.0,4.045744476418014,4.704798737010048,435.9284444775107,601557.8487,1442055.6648,444.67898769093875,1.0,1.0,98.0
20,RILPAL5RD,80,7.0,3.995797013746186,2.9892367666085944,430.54661182964026,601557.8487,1442055.6648,437.53164560999505,1.0,1.0,98.0
21,RILPAL6RD,41,23.0,1.2185073203722658,1.764776963617287,282.72076505462917,601557.8487,1442055.6648,285.70404933861874,0.0,1.0,99.0
22,RILPAL7RD,42,24.0,1.248227011113053,2.7776054818672082,289.6163934705957,601557.8487,1442055.6648,293.642225963576,0.0,1.0,99.0
23,STL5001,500,1398.0,767.6237976654643,267.23416796956707,75842.78253535897,601557.8487,1442055.6648,76877.640500994,1.0,0.0,99.0
24,STL5002,592,4239.0,2179.1275469867674,1696.5841634031076,57370.85150008044,601557.8487,1442055.6648,61246.56321047032,4.0,3.0,94.0
25,STL5003,592,5376.0,2812.044351035231,2200.5848600930735,50374.40619519259,601557.8487,1442055.6648,55387.035406320894,5.0,4.0,91.0
26,STL5004,455,2479.0,1131.8516333680461,895.9518870940379,53875.910775154334,601557.8487,1442055.6648,55903.71429561642,2.0,2.0,96.0
27,STL5005,455,3201.0,1529.9554365503589,1219.4900685446632,46179.35209298942,601557.8487,1442055.6648,48928.79759808444,3.0,2.0,94.0
28,STL5006,536,9064.0,5196.81167499036,3376.323953470164,31733.503489541454,601557.8487,1442055.6648,40306.63911800198,13.0,8.0,79.0
29,STL5008,37,469.0,109.87411439667802,123.75577327336383,4346.60425666389,601557.8487,1442055.6648,4580.234144333932,2.0,3.0,95.0
30,STL501X70A1,12,261.0,17.22712652104425,102.78292076569532,1888.7248623420332,601557.8487,1442055.6648,2008.7349096287728,1.0,5.0,94.0
31,STL501X70A2,12,261.0,17.22712652104425,102.78292076569532,1888.7248623420332,601557.8487,1442055.6648,2008.7349096287728,1.0,5.0,94.0
